CCTV,#genre#
收视指南专区,http://192.168.20.34:4000/rtp/239.93.0.195:8012
蓉城先锋专区,http://192.168.20.34:4000/rtp/239.93.0.91:2101
星空精选专区,http://192.168.20.34:4000/rtp/239.93.1.171:5140
东方财经,http://192.168.20.34:4000/rtp/239.93.1.165:5140
都市剧场,http://192.168.20.34:4000/rtp/239.93.42.30:5140
少儿天地专区,http://192.168.20.34:4000/rtp/239.93.42.34:5140
求索频道,http://192.168.20.34:4000/rtp/239.93.42.24:5140
生活时尚,http://192.168.20.34:4000/rtp/239.93.42.29:5140
环球旅游,http://192.168.20.34:4000/rtp/239.93.42.31:5140
来钓鱼吧专区,http://192.168.20.34:4000/rtp/239.93.42.8:5140
麻辣体育专区,http://192.168.20.34:4000/rtp/239.93.42.2:5140
绚影4K专区,http://192.168.20.34:4000/rtp/239.93.42.33:5140
先锋乒羽,http://192.168.20.34:4000/rtp/239.93.42.56:5140
天元围棋,http://192.168.20.34:4000/rtp/239.93.42.55:5140
快乐垂钓,http://192.168.20.34:4000/rtp/239.93.1.151:5140
茶频道,http://192.168.20.34:4000/rtp/239.93.0.114:5140
乐龄学堂专区,http://192.168.20.34:4000/rtp/239.93.1.179:5140
亲子趣学4k专区,http://192.168.20.34:4000/rtp/239.93.1.191:5140
中录动漫4K专区,http://192.168.20.34:4000/rtp/239.93.1.188:5140
4K乐享超清专区,http://192.168.20.34:4000/rtp/239.93.0.43:5140
书画频道,http://192.168.20.34:4000/rtp/239.93.42.67:5140
乐游,http://192.168.20.34:4000/rtp/239.93.42.94:5140
金色学堂,http://192.168.20.34:4000/rtp/239.93.42.95:5140
法治天地,http://192.168.20.34:4000/rtp/239.93.42.96:5140
风云音乐,http://192.168.20.34:4000/rtp/239.93.0.224:5140
女性时尚,http://192.168.20.34:4000/rtp/239.93.42.62:5140
中国天气,http://192.168.20.34:4000/rtp/239.93.42.66:5140
世界地理,http://192.168.20.34:4000/rtp/239.93.1.157:5140
央视文化精品,http://192.168.20.34:4000/rtp/239.93.42.47:5140
四海钓鱼,http://192.168.20.34:4000/rtp/239.93.0.55:5140
央视台球,http://192.168.20.34:4000/rtp/239.93.0.218:5140
高尔夫·网球,http://192.168.20.34:4000/rtp/239.93.1.54:5140
魅力足球,http://192.168.20.34:4000/rtp/239.93.42.97:5140
风云足球,http://192.168.20.34:4000/rtp/239.93.0.235:5140
兵器科技,http://192.168.20.34:4000/rtp/239.93.1.235:5140
动漫秀场,http://192.168.20.34:4000/rtp/239.93.42.93:5140
早期教育,http://192.168.20.34:4000/rtp/239.93.0.117:5140
精彩影视,http://192.168.20.34:4000/rtp/239.93.42.92:5140
怀旧剧场,http://192.168.20.34:4000/rtp/239.93.1.198:5140
第一剧场,http://192.168.20.34:4000/rtp/239.93.1.197:5140
风云剧场,http://192.168.20.34:4000/rtp/239.93.1.156:5140
CHC家庭影院,http://192.168.20.34:4000/rtp/239.93.42.6:5140
CHC影迷电影,http://192.168.20.34:4000/rtp/239.93.42.5:5140
CHC动作电影,http://192.168.20.34:4000/rtp/239.93.42.7:5140
欢笑剧场4K,http://192.168.20.34:4000/rtp/239.93.0.145:5140
中国体育1,http://192.168.20.34:4000/rtp/239.93.42.25:5140
中国体育2,http://192.168.20.34:4000/rtp/239.93.42.26:5140
中国体育3,http://192.168.20.34:4000/rtp/239.93.42.27:5140
精彩推荐专区,http://192.168.20.34:4000/rtp/239.93.1.5:5140
红原日干乔,http://192.168.20.34:4000/rtp/239.93.0.178:5140
红原月亮湾,http://192.168.20.34:4000/rtp/239.93.0.209:5140
电信导视3,http://192.168.20.34:4000/rtp/239.93.0.110:5140
雅克音乐节直播,http://192.168.20.34:4000/rtp/239.93.42.69:5140
雅克音乐节宣传,http://192.168.20.34:4000/rtp/239.93.42.68:5140
云演艺宣传,http://192.168.20.34:4000/rtp/239.93.42.60:5140
创新及人才文化节,http://192.168.20.34:4000/rtp/239.93.42.59:5140
华西证券,http://192.168.20.34:4000/rtp/239.93.0.69:5140
卫视,#genre#
四川卫视,http://192.168.20.34:4000/rtp/239.93.0.20:1235
湖南卫视,http://192.168.20.34:4000/rtp/239.93.0.88:5140
江苏卫视,http://192.168.20.34:4000/rtp/239.93.0.89:5140
浙江卫视,http://192.168.20.34:4000/rtp/239.93.0.124:5140
东方卫视,http://192.168.20.34:4000/rtp/239.93.0.123:5140
北京卫视,http://192.168.20.34:4000/rtp/239.93.0.180:5140
深圳卫视,http://192.168.20.34:4000/rtp/239.93.0.182:5140
广东卫视,http://192.168.20.34:4000/rtp/239.93.0.181:5140
天津卫视,http://192.168.20.34:4000/rtp/239.93.0.167:5140
山东卫视,http://192.168.20.34:4000/rtp/239.93.0.168:5140
康巴卫视,http://192.168.20.34:4000/rtp/239.93.0.41:5140
江西卫视,http://192.168.20.34:4000/rtp/239.93.0.134:5140
东南卫视,http://192.168.20.34:4000/rtp/239.93.0.42:5140
黑龙江卫视,http://192.168.20.34:4000/rtp/239.93.0.183:5140
重庆卫视,http://192.168.20.34:4000/rtp/239.93.1.107:5140
贵州卫视,http://192.168.20.34:4000/rtp/239.93.0.131:5140
湖北卫视,http://192.168.20.34:4000/rtp/239.93.0.250:5140
安徽卫视,http://192.168.20.34:4000/rtp/239.93.1.106:5140
河北卫视,http://192.168.20.34:4000/rtp/239.93.0.132:5140
河南卫视,http://192.168.20.34:4000/rtp/239.93.42.45:5140
广西卫视,http://192.168.20.34:4000/rtp/239.93.42.46:5140
云南卫视,http://192.168.20.34:4000/rtp/239.93.1.174:5140
吉林卫视,http://192.168.20.34:4000/rtp/239.93.0.248:5140
陕西卫视,http://192.168.20.34:4000/rtp/239.93.0.143:5140
山西卫视,http://192.168.20.34:4000/rtp/239.93.0.127:5140
内蒙古卫视,http://192.168.20.34:4000/rtp/239.93.0.87:5140
青海卫视,http://192.168.20.34:4000/rtp/239.93.0.85:5140
宁夏卫视,http://192.168.20.34:4000/rtp/239.93.0.74:5140
西藏卫视,http://192.168.20.34:4000/rtp/239.93.0.83:5140
